IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3277822208,3277822463,RIPE,1148342400,ES,ESP,SPAIN
3277822464,3277822719,RIPE,1148342400,PL,POL,POLAND
3277822976,3277823231,RIPE,1148428800,FR,FRA,FRANCE
3277823232,3277823487,RIPE,1148428800,UA,UKR,UKRAINE
3277823488,3277823743,RIPE,1148428800,SI,SVN,SLOVENIA
3277823744,3277823999,RIPE,1231804800,UA,UKR,UKRAINE
3277824000,3277824255,RIPE,1148601600,TR,TUR,TURKEY
3277824256,3277824511,RIPE,1148601600,AT,AUT,AUSTRIA
3277824512,3277824767,RIPE,1148601600,UA,UKR,UKRAINE
3277824768,3277825023,RIPE,1148601600,AT,AUT,AUSTRIA
3277825024,3277825279,RIPE,1148601600,PL,POL,POLAND
3277825280,3277825535,RIPE,1148860800,UA,UKR,UKRAINE
3277825536,3277825791,RIPE,1148860800,RO,ROM,ROMANIA
3277825792,3277826047,RIPE,1148860800,RO,ROM,ROMANIA
3277826048,3277826303,RIPE,1148947200,FR,FRA,FRANCE
3277826304,3277826559,RIPE,1148947200,PL,POL,POLAND
3277826560,3277826815,RIPE,1148947200,PL,POL,POLAND
3277826816,3277827071,RIPE,1148947200,UA,UKR,UKRAINE
3277827072,3277827327,RIPE,1149033600,DK,DNK,DENMARK
3277827328,3277827583,RIPE,1149206400,SI,SVN,SLOVENIA
3277827584,3277827839,RIPE,1149206400,NL,NLD,NETHERLANDS
3277827840,3277828095,RIPE,1149206400,NL,NLD,NETHERLANDS
3277828096,3277828351,RIPE,1149552000,GB,GBR,UNITED
3277828352,3277828607,RIPE,1149638400,NL,NLD,NETHERLANDS
3277828608,3277828863,RIPE,1149638400,RO,ROM,ROMANIA
3277828864,3277829119,RIPE,1149724800,TR,TUR,TURKEY
3277829120,3277829375,RIPE,1149724800,RO,ROM,ROMANIA
3277829376,3277829631,RIPE,1149811200,DK,DNK,DENMARK
3277829632,3277829887,RIPE,1149811200,PL,POL,POLAND
